Calc Field #,Workbook,Workbook Dir,Data Source,Data Source Caption,Data Source Name (tech),Field Name,Field Caption,Field Name (tech),Formula,Formula Line #,Formula Line
1,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Stocks,Stocks,dataengine.42038.846130138889,Number of Records,,Number of Records,1,1,1
2,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Education,Education,dataengine.42020.795741076392 (copy),True Average,True Average,Calculation_554505731386286080,"{SUM([Total Score])/SUM(1)} //Because this is a table-scoped LOD, filters  //need to be context filters so that they are  //evaluated prior to the calculation",1,{SUM([Total Score])/SUM(1)}
2,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Education,Education,dataengine.42020.795741076392 (copy),True Average,True Average,Calculation_554505731386286080,"{SUM([Total Score])/SUM(1)} //Because this is a table-scoped LOD, filters  //need to be context filters so that they are  //evaluated prior to the calculation",2,"//Because this is a table-scoped LOD, filters "
2,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Education,Education,dataengine.42020.795741076392 (copy),True Average,True Average,Calculation_554505731386286080,"{SUM([Total Score])/SUM(1)} //Because this is a table-scoped LOD, filters  //need to be context filters so that they are  //evaluated prior to the calculation",3,//need to be context filters so that they are 
2,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Education,Education,dataengine.42020.795741076392 (copy),True Average,True Average,Calculation_554505731386286080,"{SUM([Total Score])/SUM(1)} //Because this is a table-scoped LOD, filters  //need to be context filters so that they are  //evaluated prior to the calculation",4,//evaluated prior to the calculation
3,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Education,Education,dataengine.42020.795741076392 (copy),Total Score,Total Score,Calculation_7540328115524419,[Math]+[Verbal]+[Writing],1,[Math]+[Verbal]+[Writing]
4,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Flight,Flight,dataengine.42020.797469930556,% of Delayed Flights,% of Delayed Flights,% of total delayed Flights by Security (copy 2),"Sum(if contains([Ontime Category], ""Delayed"") then [Number of Flights] else 0 end)/sum([Number of Flights])",1,"Sum(if contains([Ontime Category], ""Delayed"") then [Number of Flights] else 0 end)/sum([Number of Flights])"
5,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Flight,Flight,dataengine.42020.797469930556,Minutes of Delay per Flight,Minutes of Delay per Flight,Calculation_0510207161311318,[Minutes of Delay]/[Number of Flights],1,[Minutes of Delay]/[Number of Flights]
6,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Regional Obesity Rate,Regional Obesity Rate,Calculation_547187368111550464,{FIXED [Region]: AVG([Adult Obesity (% of pop)])},1,{FIXED [Region]: AVG([Adult Obesity (% of pop)])}
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",1,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)"
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",2,"' THEN ""on par with"""
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",3,"ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)"
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",4,"' THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"""
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",5,"ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"""
7,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Above or Below?,Above or Below?,Calculation_547187368111697921,"IF ROUND([Regional Obesity Rate],2) = ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN ""on par with"" ELSEIF ROUND([Regional Obesity Rate],2) < ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)  THEN STR(ROUND(([Difference from Region]*100),2)) + ""% above"" ELSE STR(ROUND(([Difference from Region]*100),2)) + ""% below"" END",6,END
8,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Difference from Region,Difference from Region,Calculation_655836709784489985,"ABS(ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)- ROUND([Regional Obesity Rate],2))",1,"ABS(ROUND({FIXED [State],[County]: AVG([Adult Obesity (% of pop)])},2)- ROUND([Regional Obesity Rate],2))"
9,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Obesity,Obesity,federated.0irfxip0wiwyep18va2ki09zzb8r,Number of Records,,Number of Records,1,1,1
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",1,IF AVG([Median]) > 0
10,Regional.twbx,C:/tech/Tableau/Tableau Tools/TWBs/Tableau Sample Workbooks,Global Temperatures,Global Temperatures,dataengine.1drcocf045eval105hqv70juo5cs (copy),Above Median?,Above Median?,Calculation_1422011631054323712,"IF AVG([Median]) > 0 THEN ""above median"" ELSEIF AVG([Median]) < 0  THEN ""below median"" ELSE ""(at median)"" END",2,"THEN ""above median"""
